index,feature_name,description,feature_type,data_range,non_zero_count,coverage_pct,eliminated,corr_filter,variance_threshold,importance_order,importance,importance_10,corr_residential,corr_commercial,corr_office,score,select,a1,a2,a3,a4
1,h3_id,Unique id of the hexagon,identification,non-numeric,13677,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,city,Name of the city the cell is in,identification,non-numeric,13677,100,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
3,feat_plaza_dx,"Distance of hexagon centroid from the central plaza of the city, 'x'; if centroid intersects the plaza, value is 0.0",geometry,-7510.40 to 7443.34,13677,100,0,1,1,35,0.005525,0,0,0,0,2,1,1,1,1,1
4,feat_plaza_dy,"Distance of hexagon centroid from the central plaza of the city, 'y'; if centroid intersects the plaza, value is 0.0",geometry,-7531.28 to 8618.13,13677,100,0,1,1,33,0.008026,0,0,0,0,2,1,1,1,1,1
5,feat_building_count,Number of buildings in hexagon,"morphology, built area",0.00 to 108.00,11596,84.784675,0,1,1,1,0.222639,1,1,0,0,4,1,1,1,1,1
6,feat_total_footprint_area,Area covered by buildings in cell,"morphology, built area",0.00 to 28577.00,11596,84.784675,0,1,1,2,0.161847,1,1,1,0,5,1,1,1,1,1
7,feat_mean_building_area,Average building footprint size,"morphology, built area",0.00 to 27564.96,11596,84.784675,0,1,1,29,0.010223,0,0,1,0,3,1,1,1,1,1
8,feat_std_building_area,SD building footprint size,"morphology, built area",0.00 to 19802.39,11032,80.66,0,1,1,13,0.015618,0,0,1,0,3,1,1,1,1,1
9,feat_min_building_area,Min building footprint size,"morphology, built area",0.00 to 27564.96,11596,84.784675,0,0,0,,0,0,0,0,0,0,0,1,0,1,0
10,feat_max_building_area,Max building footprint size,"morphology, built area",0.00 to 28290.91,11596,84.784675,0,0,0,,0,0,0,1,0,1,0,1,0,1,0
11,feat_coverage_ratio,Building footprint coverage ratio,"morphology, built area",0.00 to 2.24,11596,84.784675,0,0,0,,0,0,1,1,0,2,0,1,0,1,0
12,feat_small_buildings_ratio,Ratio of small buildings to total (x < 100),"morphology, built area",0.00 to 1.00,11163,81.61877605,0,1,1,28,0.01043,0,0,0,0,2,0,1,0,1,0
13,feat_large_buildings_ratio,Ratio of large buildings to total (x >= 500),"morphology, built area",0.00 to 1.00,3566,26.07296922,0,1,1,10,0.020866,1,0,0,0,3,1,1,1,1,1
14,feat_mean_perimeter,Average building perimeter in meters,"morphology, built area",0.00 to 913.37,11596,84.784675,0,1,1,18,0.012799,0,0,1,0,3,1,1,1,1,1
15,feat_std_perimeter,SD building perimeter in meters,"morphology, built area",0.00 to 652.11,11032,80.66,0,0,0,,0,0,0,1,0,1,0,1,0,1,0
16,feat_height_avg,Building height average (of the averages) from 2016 to 2023,height,0.00 to 51.32,11473,83.88535498,0,1,1,12,0.020338,0,1,1,1,5,1,1,1,1,1
17,feat_height_latest,Building height average from 2023,height,0.00 to 50.99,11312,82.71,0,0,0,,0,0,1,0,1,2,0,1,0,1,0
18,feat_height_trend,Building height trend from 2016 to 2023 (mean_height_2023 - mean_height_2016 / number of height columns),height,-3.43 to 8.50,11357,83.03721576,0,1,1,27,0.010777,0,0,0,0,2,0,1,0,1,0
19,feat_height_max,Building height max across all years,height,0.00 to 59.89,11473,83.88535498,0,0,0,,0,0,1,1,1,3,1,1,1,1,1
20,feat_low_rise_ratio_latest,Mean ratio of buildings with height (x < 10) in the cell in 2023,"morphology, built area",0.00 to 1.00,11461,83.79761644,0,1,1,19,0.0126,0,0,0,0,2,0,1,0,1,0
21,feat_mid_rise_ratio_latest,Mean ratio of buildings with height (x >= 10) & (x < 25) in the cell in 2023,"morphology, built area",0.00 to 1.00,5080,37.14264824,0,1,1,30,0.009835,0,0,0,0,2,1,1,1,1,1
22,feat_high_rise_ratio_latest,Mean ratio of buildings with height (x >= 25) in the cell in 2023,"morphology, built area",0.00 to 1.00,566,4.13833443,0,1,0,,0,0,0,0,1,2,1,1,1,1,1
23,feat_floor_area_ratio_latest,"Floor area ratio per square meter of the cell in 2023
sum(floors * building_area_m2) / h3_area_m2
floors = building_height / 3.0 ","morphology, built area",0.00 to 19.22,11312,82.71,0,1,1,3,0.060457,1,1,1,1,6,1,1,1,1,1
24,feat_high_rise_ratio_mean,Mean count of buildings with height (x >= 25) in the cell averaged across all years,height,0.00 to 0.76,715,5.227754625,0,1,0,,0,0,0,0,1,2,0,1,0,1,0
25,feat_floor_area_ratio_mean,Mean floor area ratio per square meter of the cell averaged across all years,height,0.00 to 22.19,11473,83.88535498,0,0,0,,0,0,1,1,1,3,0,1,0,1,0
26,feat_ndbi_2023_mean,Normalized Difference Built-up Index (built-up area intensity),spectral,-0.61 to 0.21,13625,99.61979966,0,1,1,23,0.011337,0,1,0,0,3,1,1,1,1,1
27,feat_savi_2023_mean,Soil Adjusted Vegetation Index (vegetation density),spectral,-0.00 to 0.67,13627,99.63442275,0,0,0,,0,0,1,0,0,1,1,1,1,1,1
28,feat_poi_commercial_count,Point of Interest classified as 'commercial' count,points of interest,0.00 to 28.00,2137,15.62477151,0,1,1,5,0.048367,1,0,0,0,3,1,1,1,1,1
29,feat_poi_education_count,Point of Interest classified as 'education' count,points of interest,0.00 to 5.00,696,5.088835271,0,1,1,36,0.005238,0,0,0,0,2,0,1,0,1,0
30,feat_poi_health_count,Point of Interest classified as 'health' count,points of interest,0.00 to 8.00,221,1.615851429,0,1,1,15,0.014777,0,0,0,0,2,1,1,1,1,1
31,feat_poi_industrial_count,Point of Interest classified as 'industrial' count,points of interest,0.00 to 6.00,451,3.297506763,0,1,1,8,0.030994,1,0,0,0,3,1,1,1,1,1
32,feat_poi_office_count,Point of Interest classified as 'office' count,points of interest,0.00 to 13.00,462,3.377933757,0,1,1,31,0.00964,0,0,0,0,2,1,1,1,1,1
33,feat_poi_office_commercial_mixed_count,Point of Interest classified as 'office_commercial_mixed' count,points of interest,0.00 to 35.00,134,0.979747021,0,1,1,34,0.006884,0,0,0,0,2,1,1,1,1,1
34,feat_poi_other_count,Point of Interest classified as 'other' count,points of interest,0.00 to 24.00,2192,16.02690649,0,1,1,26,0.010869,0,0,1,0,3,1,1,1,1,1
35,feat_poi_religion_count,Point of Interest classified as 'religion' count,points of interest,0.00 to 2.00,364,2.661402354,0,1,1,37,0.003056,0,0,0,0,2,0,1,0,1,0
36,feat_poi_residential_count,Point of Interest classified as 'residential' count,points of interest,0.00 to 3.00,100,0.731154493,0,1,0,,0,0,0,0,0,1,0,1,0,1,0
37,feat_poi_commercial_existence_sum,Point of Interest classified as 'commercial' confidence score sum,points of interest,0.00 to 24.23,2137,15.62477151,0,0,0,,0,0,0,1,1,2,0,1,0,1,0
38,feat_poi_education_existence_sum,Point of Interest classified as 'education' confidence score sum,points of interest,0.00 to 4.36,696,5.088835271,0,0,0,,0,0,0,0,1,1,0,1,0,1,0
39,feat_poi_health_existence_sum,Point of Interest classified as 'health' confidence score sum,points of interest,0.00 to 7.49,221,1.615851429,0,0,0,,0,0,0,0,1,1,0,1,0,1,0
40,feat_poi_industrial_existence_sum,Point of Interest classified as 'industrial' confidence score sum,points of interest,0.00 to 5.71,451,3.297506763,0,0,0,,0,0,0,0,0,0,0,1,0,1,0
41,feat_poi_office_existence_sum,Point of Interest classified as 'office' confidence score sum,points of interest,0.00 to 12.31,462,3.377933757,0,0,0,,0,0,0,0,1,1,0,1,0,1,0
42,feat_poi_office_commercial_mixed_existence_sum,Point of Interest classified as 'office_commercial_mixed' confidence score sum,points of interest,0.00 to 33.28,134,0.979747021,0,0,0,,0,0,0,0,1,1,0,1,0,1,0
43,feat_poi_other_existence_sum,Point of Interest classified as 'other' confidence score sum,points of interest,0.00 to 21.40,2192,16.02690649,0,0,0,,0,0,0,0,1,1,0,1,0,1,0
44,feat_poi_religion_existence_sum,Point of Interest classified as 'religion' confidence score sum,points of interest,0.00 to 1.72,364,2.661402354,0,0,0,,0,0,0,0,0,0,0,1,0,1,0
45,feat_poi_residential_existence_sum,Point of Interest classified as 'residential' confidence score sum,points of interest,0.00 to 2.85,100,0.731154493,0,0,0,,0,0,0,0,0,0,0,1,0,1,0
46,feat_poi_commercial_existence_mean,Point of Interest classified as 'commercial' confidence score mean,points of interest,0.00 to 1.00,2137,15.62477151,0,1,1,9,0.021757,1,0,0,0,3,1,1,1,1,1
47,feat_poi_education_existence_mean,Point of Interest classified as 'education' confidence score mean,points of interest,0.00 to 0.99,696,5.088835271,0,0,0,,0,0,0,0,0,0,0,1,0,1,0
48,feat_poi_health_existence_mean,Point of Interest classified as 'health' confidence score mean,points of interest,0.00 to 0.99,221,1.615851429,0,0,0,,0,0,0,0,0,0,0,1,0,1,0
49,feat_poi_industrial_existence_mean,Point of Interest classified as 'industrial' confidence score mean,points of interest,0.00 to 1.00,451,3.297506763,0,0,0,,0,0,0,0,0,0,0,1,0,1,0
50,feat_poi_office_existence_mean,Point of Interest classified as 'office' confidence score mean,points of interest,0.00 to 1.00,462,3.377933757,0,1,1,38,0.002385,0,0,0,0,2,0,1,0,1,0
51,feat_poi_office_commercial_mixed_existence_mean,Point of Interest classified as 'office_commercial_mixed' confidence score mean,points of interest,0.00 to 1.00,134,0.979747021,0,1,0,,0,0,0,0,0,1,0,1,0,1,0
52,feat_poi_other_existence_mean,Point of Interest classified as 'other' confidence score mean,points of interest,0.00 to 1.00,2192,16.02690649,0,1,1,32,0.009086,0,0,0,0,2,0,1,0,1,0
53,feat_poi_religion_existence_mean,Point of Interest classified as 'religion' confidence score mean,points of interest,0.00 to 0.96,364,2.661402354,0,0,0,,0,0,0,0,0,0,0,1,0,1,0
54,feat_poi_residential_existence_mean,Point of Interest classified as 'residential' confidence score mean,points of interest,0.00 to 0.95,100,0.731154493,0,0,0,,0,0,0,0,0,0,0,1,0,1,0
55,feat_poi_commercial_classconf_mean,Point of Interest classified as 'commercial' classification confidence score mean,points of interest,0.00 to 0.80,2137,15.62477151,0,0,0,,0,0,0,0,0,0,0,1,0,1,0
56,feat_poi_education_classconf_mean,Point of Interest classified as 'education' classification confidence score mean,points of interest,0.00 to 0.95,696,5.088835271,0,0,0,,0,0,0,0,0,0,0,1,0,1,0
57,feat_poi_health_classconf_mean,Point of Interest classified as 'health' classification confidence score mean,points of interest,0.00 to 0.90,221,1.615851429,0,0,0,,0,0,0,0,0,0,0,1,0,1,0
58,feat_poi_industrial_classconf_mean,Point of Interest classified as 'industrial' classification confidence score mean,points of interest,0.00 to 0.80,451,3.297506763,0,0,0,,0,0,0,0,0,0,0,1,0,1,0
59,feat_poi_office_classconf_mean,Point of Interest classified as 'office' classification confidence score mean,points of interest,0.00 to 0.85,462,3.377933757,0,0,0,,0,0,0,0,0,0,0,1,0,1,0
60,feat_poi_office_commercial_mixed_classconf_mean,Point of Interest classified as 'office_commercial_mixed' classification confidence score mean,points of interest,0.00 to 0.60,134,0.979747021,0,0,0,,0,0,0,1,0,1,0,1,0,1,0
61,feat_poi_other_classconf_mean,Point of Interest classified as 'other' classification confidence score mean,points of interest,0.00 to 0.63,2192,16.02690649,0,0,0,,0,0,0,0,0,0,0,1,0,1,0
62,feat_poi_religion_classconf_mean,Point of Interest classified as 'religion' classification confidence score mean,points of interest,0.00 to 0.95,364,2.661402354,0,0,0,,0,0,0,0,0,0,0,1,0,1,0
63,feat_poi_residential_classconf_mean,Point of Interest classified as 'residential' classification confidence score mean,points of interest,0.00 to 0.76,100,0.731154493,0,0,0,,0,0,0,0,0,0,0,1,0,1,0
64,feat_poi_total_count,Point of Interest total count,points of interest,0.00 to 81.00,4077,29.80916868,0,0,0,,0,0,0,1,1,2,0,1,0,1,0
65,feat_poi_diversity,Point of Interest diversity value (Shannon index),points of interest,-0.00 to 1.63,4077,29.80916868,0,1,1,16,0.013196,0,0,1,1,4,1,1,1,1,1
66,feat_poi_neighbor_total_count,Point of Interest neighboring cells total count,points of interest,0.00 to 264.00,8898,65.05812678,0,1,1,6,0.039222,1,0,1,1,5,1,1,1,1,1
